Comment,Designator,Footprint,LCSC
"100nF","C1,C7,C9,C12,C13,C14,C15,C16,C18,C20","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C138340"
"0.3pF","C11","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C138340"
"4.7uF","C17,C19","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C464454"
"15pF","C2,C3","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C705013"
"100pF","C4","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C464454"
"0.8pF","C5","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C464454"
"10uF","C6,C10","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C89827"
"LED","D2,D3","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C389523"
"BAT54S","D5,D6","Package_TO_SOT_SMD:SOT-23","C258194"
"2450LP14B100T","FL1","Customs:2450LP14B100T",""
"Conn_01x02_Female","J1","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","C160332"
"Conn_01x05_Female","J2,J4","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","C358687"
"RSP-122811-01","J3","RSP-122811-01:SAMTEC_RSP-122811-01","C434808"
"Jumper_3_Open","JP1","Jumper:SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm",""
"SolderJumper_3_Open","JP2","Jumper:SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm",""
"2.7nH","L1","Inductor_SMD:L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",""
"Z0603C601ASMST","L2","Inductor_SMD:L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",""
"10nH","L3","Inductor_SMD:L_0805_2012Metric",""
"10nH","L4","Inductor_SMD:L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",""
"R750","R2,R3","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C351549"
"3.3K","R6","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C352211"
"SW_Push","SW1","Button_Switch_SMD:SwitchSPST","C127404"
"STM32WB55CCUx","U1","STM32:STM32WB55CCU6","C2151725"
"SFH620A-1","U2","Package_DIP:DIP-4_W7.62mm","C500642"
"LM2937-IMP","U3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C140265"
"32.768 KHz","Y1","Crystal:Crystal_SMD_TXC_9HT11-2Pin_2.0x1.2mm_HandSoldering","C409344"
"Crystal_GND24","Y2","Crystal:Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm_HandSoldering","C91742"
